index,name,device_id,device_label,screen_status,timestamp
779343,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596630647833
779344,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596630830635
779345,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596630896288
779346,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596631342610
779347,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596631400809
779348,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596632720965
779349,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596632777750
779350,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596633351843
779351,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596633358295
779352,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596633828918
779353,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596633846537
779354,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596635392702
779355,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596635439466
779356,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596636122507
779357,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596636177146
779358,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596636212628
779359,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596636243895
779360,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596636746678
779361,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596636777158
779362,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596636832820
779363,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596636917130
779364,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596637820976
779365,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596637845919
779366,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596638645378
779367,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596638738622
779368,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596639075042
779369,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596639178746
779370,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596639637505
779371,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596639675471
779372,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596639784317
779373,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,2.0,1596639937314
779374,screen,aff93315-4e74-41b2-84a7-f597e1c55207,64BY,3.0,1596640129085
