index,name,call_duration,call_type,device_id,device_label,timestamp,trace
20079,calls,0.0,1.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601685281807,04FC8AB6-8603-4FAE-8CFF-4887AE9EC499
20080,calls,2.0,4.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601685284217,04FC8AB6-8603-4FAE-8CFF-4887AE9EC499
20081,calls,0.0,1.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601685308254,813347E2-4D54-4987-98CD-94220ACCC129
20082,calls,7.0,2.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601685316121,813347E2-4D54-4987-98CD-94220ACCC129
20083,calls,9.0,4.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601685325921,813347E2-4D54-4987-98CD-94220ACCC129
20084,calls,0.0,3.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601686188843,4F928A7E-E307-4B0D-AB47-8645612105FD
20085,calls,10.0,2.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601686199523,4F928A7E-E307-4B0D-AB47-8645612105FD
20086,calls,35.0,4.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601686235077,4F928A7E-E307-4B0D-AB47-8645612105FD
20087,calls,0.0,1.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601769331337,0111E14A-AB6D-4939-802F-B5228016B2B7
20088,calls,30.0,4.0,16882939-b812-41ed-804c-b015216ab6d9,208KY,1601769361838,0111E14A-AB6D-4939-802F-B5228016B2B7
