index,name,accuracy,device_id,device_label,double_altitude,double_bearing,double_latitude,double_longitude,double_speed,provider,timestamp
903528,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,290.6286549418234,-1.0,40.49335421776608,-79.89143355837892,-1.0,fused,1601164843262
903529,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.49333741589128,-79.89143058071218,-1.0,fused,1601165143259
903530,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.49337592668397,-79.8913813753382,-1.0,fused,1601165443349
903531,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.49333005492891,-79.89142503753537,-1.0,fused,1601165743256
903532,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.493390557619705,-79.8914339356063,-1.0,fused,1601166043256
903533,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.493334402243036,-79.89139758737026,-1.0,fused,1601166343251
903534,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,293.08865494182345,-1.0,40.49334125381306,-79.8914191289103,-1.0,fused,1601166643339
903535,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,291.08865494182345,-1.0,40.493350018537406,-79.89132337383741,-1.0,fused,1601166943282
903536,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.4933980396548,-79.89138067486427,-1.0,fused,1601167243247
903537,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49339924978538,-79.89136415173887,-1.0,fused,1601167543261
903538,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49339902329868,-79.89136663234342,-1.0,fused,1601167843327
903539,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.493416713392406,-79.89136814157536,-1.0,fused,1601168143310
903540,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49344002976145,-79.8914090206598,-1.0,fused,1601168443237
903541,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49339084182933,-79.89140071999236,-1.0,fused,1601168743240
903542,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49335499142336,-79.89146074909411,-1.0,fused,1601169043330
903543,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.493350420604436,-79.89145030662644,-1.0,fused,1601169343303
903544,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42865494182337,-1.0,40.49336905076325,-79.89131449071239,-1.0,fused,1601169643240
903545,locations,65.0,11986937-1b37-446c-86e7-ca2538ef091b,51JS,292.42864990234375,-1.0,40.493346120493456,-79.89139559830397,-1.0,fused,1601169943235
