index,name,device_id,device_label,screen_status,timestamp
644964,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590883321624
644965,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590883335309
644966,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590884006054
644967,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590884008082
644968,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590884390902
644969,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590884470183
644970,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590884776838
644971,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590884817122
644972,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590884837488
644973,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590884857150
644974,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590884884925
644975,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590884935446
644976,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590885402141
644977,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590885409952
644978,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590886404874
644979,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590886411337
644980,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590899956796
644981,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590899975817
644982,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590900035674
644983,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590900225352
644984,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590900471548
644985,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590909283651
644986,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590909555647
644987,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590918003934
644988,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590918194137
644989,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590918400798
644990,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590918653710
644991,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590918658503
644992,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590919541502
644993,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590921644023
644994,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590922444719
644995,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590937672939
644996,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590937706294
644997,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590937851348
644998,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939014576
644999,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939216093
645000,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939249685
645001,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939281148
645002,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939306298
645003,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939364328
645004,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939395557
645005,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939466529
645006,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939517630
645007,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939759853
645008,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590939892983
645009,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590939897780
645010,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590940263497
645011,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590941562678
645012,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590941626555
645013,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590941652588
645014,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590941972690
645015,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942019947
645016,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590942302048
645017,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942377462
645018,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590942395259
645019,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942432999
645020,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590942731413
645021,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942735377
645022,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590942745601
645023,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942811935
645024,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590942834757
645025,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590942837717
645026,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590943883563
645027,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590944009812
645028,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590944028453
645029,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590944037365
645030,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590944146509
645031,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590944561108
645032,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590944570065
645033,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590944656174
645034,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945529032
645035,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590945555039
645036,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945558882
645037,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590945566028
645038,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945682231
645039,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590945734253
645040,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945807889
645041,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590945815284
645042,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945878096
645043,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590945893420
645044,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590945943873
645045,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590946040971
645046,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590946341696
645047,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590946393521
645048,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590946442005
645049,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590946616677
645050,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590946829925
645051,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590946876282
645052,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590947000898
645053,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590947088600
645054,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590947179222
645055,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590947263521
645056,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590947288325
645057,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590947323639
645058,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590947455330
645059,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590947473801
645060,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590947821542
645061,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590947918098
645062,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590948083956
645063,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590948114928
645064,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590948511937
645065,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590948560541
645066,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590948790469
645067,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590948803113
645068,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590949228830
645069,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590949314631
645070,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590949494936
645071,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590949573665
645072,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590949673428
645073,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590949690375
645074,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590949910542
645075,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590950348268
645076,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590950482106
645077,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590950505043
645078,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590950699317
645079,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590950803905
645080,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590950849233
645081,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590950861905
645082,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590951657823
645083,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590951724232
645084,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590951775326
645085,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590951853796
645086,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590951859349
645087,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590951880766
645088,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590952222673
645089,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590952259177
645090,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590952353372
645091,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590952430235
645092,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590953027698
645093,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590953031127
645094,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590953060298
645095,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590953081801
645096,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590953420113
645097,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,3.0,1590953539440
645098,screen,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,2.0,1590953575927
