index,name,accuracy,device_id,device_label,double_altitude,double_bearing,double_latitude,double_longitude,double_speed,provider,timestamp
226701,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,224.9794921875,-1.0,40.41020111127307,-79.95910995534334,-1.0,fused,1600819472072
226702,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.836181640625,-1.0,40.410243101335695,-79.9589179652027,-1.0,fused,1600819772155
226703,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,226.19467163085938,-1.0,40.41020607789526,-79.95899580050364,-1.0,fused,1600820072141
226704,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.1270751953125,-1.0,40.41016793322042,-79.95922921871394,-1.0,fused,1600820372066
226705,locations,12.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,226.42135980278962,110.06260302604656,40.41006715334398,-79.95921838854835,0.015691116452217102,fused,1600820672067
226706,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.0033721923828,-1.0,40.41019753217416,-79.95913243244931,-1.0,fused,1600820972152
226707,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.0905914306641,-1.0,40.41020399319506,-79.95910283914428,-1.0,fused,1600821272146
226708,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.0006866455078,-1.0,40.410186900509856,-79.95917997987709,-1.0,fused,1600821572066
226709,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.02784729003903,-1.0,40.41019153155866,-79.95916343739405,-1.0,fused,1600821872064
226710,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.0183868408203,-1.0,40.410185668265854,-79.95918538911052,-1.0,fused,1600822172068
226711,locations,65.0,c1f245b0-659b-4aa3-8e8d-56b21729ad4d,169KG,225.00462341308602,-1.0,40.41019658948757,-79.95913646870547,-1.0,fused,1600822472083
