index,name,call_duration,call_type,device_id,device_label,timestamp,trace
23112,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826133725,AA726783-7C59-46CC-9238-4B90B936C4A1
23113,calls,15.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826149113,AA726783-7C59-46CC-9238-4B90B936C4A1
23114,calls,14.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826163835,AA726783-7C59-46CC-9238-4B90B936C4A1
23115,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826357626,F7ABB5CC-8142-4611-9C99-0BC3812BCC57
23116,calls,7.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826365554,F7ABB5CC-8142-4611-9C99-0BC3812BCC57
23117,calls,1.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589826367012,F7ABB5CC-8142-4611-9C99-0BC3812BCC57
23118,calls,0.0,1.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589830712898,3D1B7751-BED9-45DB-AF0A-344289E604B9
23119,calls,4.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589830717624,3D1B7751-BED9-45DB-AF0A-344289E604B9
23120,calls,7.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589830725329,3D1B7751-BED9-45DB-AF0A-344289E604B9
23121,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589832058568,B1DA44C6-288E-4C77-A525-3EEFBE96037A
23122,calls,4.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589832063176,B1DA44C6-288E-4C77-A525-3EEFBE96037A
23123,calls,19.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589832082943,B1DA44C6-288E-4C77-A525-3EEFBE96037A
23124,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589832855912,2662761D-BDB9-4EB8-9EAF-604FFB11747B
23125,calls,17.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589832873636,2662761D-BDB9-4EB8-9EAF-604FFB11747B
23126,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589833548990,64978A61-BF62-43CF-80B7-09E2B1DC2FE9
23127,calls,5.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589833554370,64978A61-BF62-43CF-80B7-09E2B1DC2FE9
23128,calls,36.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589833590795,64978A61-BF62-43CF-80B7-09E2B1DC2FE9
23129,calls,0.0,3.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589834694825,56FFE5BB-AEE3-46C5-963C-BE4388300CD9
23130,calls,4.0,2.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589834699655,56FFE5BB-AEE3-46C5-963C-BE4388300CD9
23131,calls,1056.0,4.0,99fd867d-73c2-4fa7-a289-16ce83a6376d,219WT,1589835756457,56FFE5BB-AEE3-46C5-963C-BE4388300CD9
