index,name,call_duration,call_type,device_id,device_label,timestamp,trace
30630,calls,0.0,1.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598016410220,990BC8D2-6B26-409C-BF4F-B387D4D91092
30631,calls,4.0,2.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598016414941,990BC8D2-6B26-409C-BF4F-B387D4D91092
30632,calls,5.0,4.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598016420335,990BC8D2-6B26-409C-BF4F-B387D4D91092
30633,calls,0.0,1.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598030940861,9871BF33-C2D5-42BD-947B-FEA35F308E2B
30634,calls,6.0,2.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598030947413,9871BF33-C2D5-42BD-947B-FEA35F308E2B
30635,calls,35.0,4.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598030982421,9871BF33-C2D5-42BD-947B-FEA35F308E2B
30636,calls,0.0,1.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032391028,9887E2A1-CA53-4334-9769-16830CE666AE
30637,calls,11.0,2.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032402360,9887E2A1-CA53-4334-9769-16830CE666AE
30638,calls,67.0,4.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032470203,9887E2A1-CA53-4334-9769-16830CE666AE
30639,calls,0.0,3.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032538214,C7B86E96-0693-42DA-9887-EAFD317505ED
30640,calls,17.0,2.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032555340,C7B86E96-0693-42DA-9887-EAFD317505ED
30641,calls,61.0,4.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032617227,C7B86E96-0693-42DA-9887-EAFD317505ED
30642,calls,0.0,3.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032639104,5CF93AD0-E4E5-4712-B561-959BCAA0B802
30643,calls,23.0,2.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032662832,5CF93AD0-E4E5-4712-B561-959BCAA0B802
30644,calls,4.0,4.0,72725612-02ce-4f0d-8d47-06601389a52d,297WR,1598032667278,5CF93AD0-E4E5-4712-B561-959BCAA0B802
