index,name,device_id,device_label,screen_status,timestamp
757705,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585356482470
757706,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585356483487
757707,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585356485098
757708,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585356491217
757709,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585366130398
757710,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585366131511
757711,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585368749755
757712,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585368833000
757713,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585368846868
757714,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585368942541
757715,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585382183756
757716,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585416922664
757717,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585422427827
757718,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585422494007
757719,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585428538808
757720,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585428692928
757721,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585430596534
757722,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585430873063
757723,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585431349211
757724,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585433541314
757725,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,2.0,1585435669731
757726,screen,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,3.0,1585437283710
