index,name,device_id,device_label,screen_status,timestamp
668972,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589242466096
668973,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589242468145
668974,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589242472006
668975,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589242473973
668976,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589242475695
668977,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589242484345
668978,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589242499513
668979,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589242937164
668980,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589242965909
668981,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243165325
668982,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243180150
668983,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243191969
668984,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243233098
668985,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243290708
668986,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243297208
668987,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243326626
668988,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243346443
668989,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243583080
668990,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243757446
668991,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243783873
668992,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243812105
668993,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589243945440
668994,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589243955677
668995,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589244288804
668996,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589244321739
668997,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589244412968
668998,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589244449234
668999,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589245033742
669000,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589245466622
669001,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589245487865
669002,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589245525971
669003,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589245631821
669004,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589245655044
669005,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589245747857
669006,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589247013624
669007,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589247090740
669008,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589247109789
669009,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589247216817
669010,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589247218946
669011,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589248185161
669012,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589248421547
669013,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589248523841
669014,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589248570276
669015,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589248602173
669016,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589248640169
669017,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589248682748
669018,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589248683599
669019,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589248710869
669020,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589248948309
669021,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589249041704
669022,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589249045767
669023,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589249084106
669024,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589250525069
669025,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589250572545
669026,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589282860631
669027,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589283997578
669028,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589284417912
669029,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589284425785
669030,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589284930667
669031,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589285858543
669032,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589285879294
669033,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589286018900
669034,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589286030371
669035,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589286253411
669036,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,3.0,1589286352974
669037,screen,c1b10671-b7bb-4e00-9596-9cb5d99ad685,44TA,2.0,1589288315483
