index,name,device_id,device_label,screen_status,timestamp
94646,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598313654002
94647,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598313705016
94648,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598314057742
94649,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598314112015
94650,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598314143671
94651,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598314143759
94652,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598314276269
94653,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598314317045
94654,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598314754433
94655,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598314776686
94656,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598314892982
94657,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598315123677
94658,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598316532768
94659,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598316554615
94660,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598316628507
94661,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598316887710
94662,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598316925726
94663,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598317089629
94664,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598317698449
94665,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598317803688
94666,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,2.0,1598317814024
94667,screen,e9a69834-8b74-46fe-9022-91f7ab218dd1,110KI,3.0,1598317975858
