index,name,call_duration,call_type,device_id,device_label,timestamp,trace
52045,calls,0.0,1.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696250818,1A1D825A-4662-433D-B842-3479015A5C32
52046,calls,1.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696252806,1A1D825A-4662-433D-B842-3479015A5C32
52047,calls,0.0,3.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696289343,1EDBD971-E167-4349-A479-AFBAC5393FC5
52048,calls,1.0,2.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696290795,1EDBD971-E167-4349-A479-AFBAC5393FC5
52049,calls,44.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696335671,1EDBD971-E167-4349-A479-AFBAC5393FC5
52050,calls,0.0,1.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696343261,DE9506D6-119E-4BCC-AAF3-90CD0B1D2679
52051,calls,1.0,2.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587696344863,DE9506D6-119E-4BCC-AAF3-90CD0B1D2679
52052,calls,2270.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587698615686,DE9506D6-119E-4BCC-AAF3-90CD0B1D2679
52053,calls,0.0,1.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587745009969,DEA532CD-8D07-45D0-8A2D-EC45172FCE77
52054,calls,9.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587745019558,DEA532CD-8D07-45D0-8A2D-EC45172FCE77
52055,calls,0.0,3.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587745363890,9692199D-F3A4-4760-900A-4A775B4F7317
52056,calls,1.0,2.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587745365355,9692199D-F3A4-4760-900A-4A775B4F7317
52057,calls,1047.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587746412945,9692199D-F3A4-4760-900A-4A775B4F7317
52058,calls,0.0,3.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749089326,0C5B7B55-9670-44F5-85B1-0F44BB03B588
52059,calls,1.0,2.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749091001,0C5B7B55-9670-44F5-85B1-0F44BB03B588
52060,calls,17.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749108484,0C5B7B55-9670-44F5-85B1-0F44BB03B588
52061,calls,0.0,3.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749143739,AC564126-4939-419A-B8C5-E193197E2CBC
52062,calls,1.0,2.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749144998,AC564126-4939-419A-B8C5-E193197E2CBC
52063,calls,19.0,4.0,9147a0dd-313b-4c79-96d5-13145c7561e4,52NK,1587749164116,AC564126-4939-419A-B8C5-E193197E2CBC
