index,name,call_duration,call_type,device_id,device_label,timestamp,trace
50060,calls,0.0,1.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598971366040,E25BA239-96B3-4BE1-8477-8C7DDA43A659
50061,calls,4.0,2.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598971370240,E25BA239-96B3-4BE1-8477-8C7DDA43A659
50062,calls,38.0,4.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598971408288,E25BA239-96B3-4BE1-8477-8C7DDA43A659
50063,calls,0.0,3.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598972329729,DAF91033-D450-4CD5-89DC-912A985F4682
50064,calls,12.0,2.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598972342669,DAF91033-D450-4CD5-89DC-912A985F4682
50065,calls,204.0,4.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598972547664,DAF91033-D450-4CD5-89DC-912A985F4682
50066,calls,0.0,1.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598978603117,8F1E0E34-E24F-43ED-ADEB-F7560EE06B5C
50067,calls,6.0,2.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598978609502,8F1E0E34-E24F-43ED-ADEB-F7560EE06B5C
50068,calls,3.0,4.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598978613397,8F1E0E34-E24F-43ED-ADEB-F7560EE06B5C
50069,calls,0.0,3.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986277359,F2C5C603-6E5C-4BC7-BD75-DC2707758795
50070,calls,2.0,2.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986279378,F2C5C603-6E5C-4BC7-BD75-DC2707758795
50071,calls,2.0,4.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986282229,F2C5C603-6E5C-4BC7-BD75-DC2707758795
50072,calls,0.0,3.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986284430,B6A44A67-9376-48D0-AC9B-96FE04D87AEC
50073,calls,2.0,2.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986286474,B6A44A67-9376-48D0-AC9B-96FE04D87AEC
50074,calls,2.0,4.0,ff6274ac-293f-4362-b716-152373663b98,49ZR,1598986288776,B6A44A67-9376-48D0-AC9B-96FE04D87AEC
