index,name,call_duration,call_type,device_id,device_label,timestamp,trace
46070,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592359712592,6A9DFF85-3259-4183-A572-B650EE517EE3
46071,calls,17.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592359729879,6A9DFF85-3259-4183-A572-B650EE517EE3
46072,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361191573,C9D0A2A4-10A3-4DAB-A39C-6768D05BE129
46073,calls,30.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361222297,C9D0A2A4-10A3-4DAB-A39C-6768D05BE129
46074,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361325257,817E4088-E377-44DC-95FA-C17D5271AD11
46075,calls,8.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361333507,817E4088-E377-44DC-95FA-C17D5271AD11
46076,calls,85.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361418776,817E4088-E377-44DC-95FA-C17D5271AD11
46077,calls,0.0,3.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361426328,2600A0B7-D684-448C-BCE5-0083D8D9C8EC
46078,calls,1.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361427453,2600A0B7-D684-448C-BCE5-0083D8D9C8EC
46079,calls,95.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592361523432,2600A0B7-D684-448C-BCE5-0083D8D9C8EC
46080,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592363721079,92AD3330-C09F-4DB7-9495-8436A7027610
46081,calls,10.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592363731701,92AD3330-C09F-4DB7-9495-8436A7027610
46082,calls,207.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592363939524,92AD3330-C09F-4DB7-9495-8436A7027610
46083,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592365964339,6D8DE9B6-D093-49F7-B92B-ECA30180314D
46084,calls,17.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592365982242,6D8DE9B6-D093-49F7-B92B-ECA30180314D
46085,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592408443515,3F199804-7604-40B8-85A0-9B59952DF22B
46086,calls,29.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592408473465,3F199804-7604-40B8-85A0-9B59952DF22B
46087,calls,0.0,1.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592411891773,E1600438-B642-477D-84CB-8F843871A190
46088,calls,5.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592411896945,E1600438-B642-477D-84CB-8F843871A190
46089,calls,172.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592412069542,E1600438-B642-477D-84CB-8F843871A190
46090,calls,0.0,3.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592412091137,3251931D-28FE-4FEF-864A-0115F222F9CD
46091,calls,4.0,2.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592412095488,3251931D-28FE-4FEF-864A-0115F222F9CD
46092,calls,386.0,4.0,87afd54e-1d2f-48ab-b3d4-84aa58b59b3f,33MO,1592412482445,3251931D-28FE-4FEF-864A-0115F222F9CD
